Fri Mar 14 00:57:13 CET 2014, 70,21,426775,17865,12936,7988,20595,11208,2783,3990, Left
Fri Mar 14 00:57:14 CET 2014, 74,27,587426,498768,144372,101828,48666,121498,31298,9572, Left
Fri Mar 14 00:57:15 CET 2014, 66,29,1562747,890416,83721,44777,38636,33466,20543,7794, Left
Fri Mar 14 00:57:16 CET 2014, 57,30,163202,13062,6277,8615,11148,3189,1003,624, Left
Fri Mar 14 00:57:18 CET 2014, 56,35,861202,352457,143144,131318,137874,92812,24287,6738, Left
Fri Mar 14 00:57:19 CET 2014, 74,47,107333,45011,54691,8448,58699,19548,7702,1883, Left

Fri Mar 14 00:57:28 CET 2014, 69,48,592562,34480,13144,17353,17920,6492,7488,1251, Left
Fri Mar 14 00:57:29 CET 2014, 63,43,3295028,729789,315367,230049,370707,191164,42319,10926, Left
Fri Mar 14 00:57:30 CET 2014, 63,43,637039,42540,3715,8089,15585,4147,2812,1343, Left
Fri Mar 14 00:57:31 CET 2014, 66,43,1527500,74984,25777,11029,15540,17694,4990,3226, Left
Fri Mar 14 00:57:33 CET 2014, 47,29,46677,43014,2957,3660,3548,1654,2149,388, Left
Fri Mar 14 00:57:33 CET 2014, 40,34,104452,99241,37148,56697,29755,10953,4843,1799, Left

Fri Mar 14 00:57:41 CET 2014, 50,30,623479,226741,32516,38367,41120,51945,4328,3878, Left
Fri Mar 14 00:57:41 CET 2014, 51,27,251070,57046,9181,21100,17021,6631,6402,1056, Left
Fri Mar 14 00:57:43 CET 2014, 44,37,717852,315122,74854,38730,29446,10147,7608,2453, Left
Fri Mar 14 00:57:43 CET 2014, 37,26,436406,244390,18023,56747,35379,30118,10947,5998, Left
Fri Mar 14 00:57:45 CET 2014, 24,35,279969,206578,51922,82548,24436,18405,32506,15329, Left
Fri Mar 14 00:57:46 CET 2014, 47,27,2000363,386861,103356,123847,460262,409892,64920,10974, Left
Fri Mar 14 00:57:47 CET 2014, 57,27,756565,42648,8100,10576,4729,4386,990,508, Left
Fri Mar 14 00:57:48 CET 2014, 60,35,269086,45402,20308,18372,28584,9818,10440,2114, Left

Fri Mar 14 00:57:51 CET 2014, 37,38,1602785,656725,10819,66168,24808,42384,19880,10209, Left
Fri Mar 14 00:57:53 CET 2014, 29,24,187454,91204,103413,53401,61028,16089,5696,4516, Left
Fri Mar 14 00:57:53 CET 2014, 26,43,519459,77893,24656,81976,20788,8980,4113,2045, Left
Fri Mar 14 00:57:54 CET 2014, 38,48,44197,31857,30166,31865,31797,16093,10699,3046, Left
Fri Mar 14 00:57:55 CET 2014, 47,57,328357,9431,1119,4649,4527,1899,5175,855, Left
Fri Mar 14 00:57:56 CET 2014, 56,57,52536,21524,22132,20770,13414,12145,7556,4752, Left
Fri Mar 14 00:57:57 CET 2014, 60,47,183387,74446,7229,14483,6866,7002,5137,1690, Left
Fri Mar 14 00:57:59 CET 2014, 60,47,12031,35929,15778,37835,9047,14281,14967,1941, Left
Fri Mar 14 00:57:59 CET 2014, 66,50,143272,34138,6972,30533,26473,16596,12141,9113, Left
Fri Mar 14 00:58:00 CET 2014, 64,41,755591,68127,11618,25580,25361,16081,8448,2461, Left

Fri Mar 14 00:58:07 CET 2014, 66,37,1215667,638289,106577,232101,292987,193453,19059,13353, Left
Fri Mar 14 00:58:08 CET 2014, 66,37,248209,15395,2989,2227,1827,1245,253,201, Left
Fri Mar 14 00:58:09 CET 2014, 74,29,102156,30295,10993,20374,3943,12575,4331,885, Left
